"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Will Klein","LAD","RP","44.9","50","2","0","4.33","1.45","22","39","26","5","44","0","2","0"
"Ryan Watson","BOS","SP,RP","39.7","34","2","0","4.28","1.35","19","40","14","5","39","0","2","0"
"Paxton Schultz","WSH","RP","42.2","39","2","0","4.41","1.36","21","41","17","6","37","0","2","0"
"Kyle Hurt","LAD","RP","33.9","35","2","0","4.25","1.36","16","30","16","4","16","4","1","0"
"Cody Laweryson","LAA","RP","46.3","40","2","0","4.50","1.35","23","46","16","7","43","0","2","0"
"Dylan Smith","DET","RP","37.8","33","2","0","4.22","1.36","18","35","16","4","35","0","2","0"
"RJ Petit","COL","RP","53.3","47","3","0","4.70","1.43","28","56","21","7","52","0","4","0"
"Brandyn Garcia","ARI","RP","44.4","40","2","0","4.18","1.43","21","43","20","4","42","0","2","0"
"Zach McCambley","PHI","SP,RP","43.1","42","2","0","4.43","1.39","21","41","19","6","43","0","2","0"
"Trent Thornton","CHC","RP","31.7","27","2","0","4.30","1.29","15","31","10","4","30","0","1","0"
"Brock Stewart","LAD","RP","29.0","33","1","0","3.98","1.27","13","25","12","4","29","0","1","0"
"Jedixson Paez","CWS","SP","40.5","32","2","0","4.40","1.33","20","42","12","6","38","0","2","0"
"Jose Castillo","","RP","20.0","21","2","0","3.60","1.30","8","18","8","2","19","0","1","0"
"Austin Gomber","TEX","SP","54.7","40","3","0","4.96","1.34","30","58","15","10","21","7","4","0"
"Bailey Horn","DET","RP","46.9","43","2","0","4.35","1.42","23","44","22","6","45","0","3","0"
"Roddery Munoz","HOU","RP","49.1","49","2","0","4.60","1.40","25","45","23","7","43","0","3","0"
"Nick Sandlin","LAA","RP","31.2","32","2","0","4.33","1.34","15","27","15","5","33","0","2","0"
"Yerry De los Santos","NYY","RP","32.6","27","2","0","4.04","1.36","15","32","13","4","30","0","1","0"
"Mitch Spence","ATH","SP,RP","38.8","32","2","0","4.42","1.33","19","40","11","5","30","1","2","0"
"Michael Tonkin","MIN","RP","35.3","33","2","0","4.49","1.32","18","34","13","5","33","0","2","0"
"Chris Murphy","CWS","RP","37.9","34","2","0","4.22","1.39","18","35","18","4","33","0","2","0"
"Osvaldo Bido","LAA","SP,RP","47.9","44","2","0","4.62","1.37","25","46","19","7","33","2","3","0"
"Andrew Hoffmann","ARI","RP","40.1","36","2","0","4.31","1.39","19","40","16","5","38","0","2","0"
"Reiver Sanmartin","SF","RP","40.3","29","2","0","4.14","1.38","19","42","13","4","38","0","2","0"
"John King","","RP","44.5","29","2","0","4.12","1.39","20","48","13","5","44","0","2","0"
"Eli Morgan","","RP","41.2","36","2","0","4.57","1.34","21","40","15","6","40","0","2","0"
"Max Lazar","PHI","RP","38.4","31","2","0","4.46","1.33","19","39","12","5","36","0","2","0"
"Ty Adcock","SD","RP","34.7","32","2","0","4.44","1.34","17","33","13","5","33","0","2","0"
"Troy Taylor","SEA","RP","37.9","35","2","0","4.33","1.39","18","35","17","5","39","0","2","0"
"Joey Lucchesi","","RP","46.1","35","2","0","4.33","1.39","22","46","18","5","44","0","2","0"
"Luinder Avila","KC","RP","36.6","32","2","0","4.24","1.39","17","35","16","4","34","0","2","0"
"Joe Ross","","RP","45.5","37","2","0","4.45","1.38","23","46","17","6","42","0","2","0"
"Beau Brieske","DET","RP","46.1","40","2","0","4.54","1.38","23","44","20","6","45","0","3","0"
"Brandon Young","BAL","SP","34.2","30","2","0","4.49","1.32","17","34","11","5","20","3","2","0"
"Robinson Ortiz","SEA","SP,RP","34.2","32","2","0","4.21","1.40","16","31","17","4","34","0","2","0"
"Tim Mayza","PHI","RP","29.2","24","2","0","4.09","1.35","13","30","10","3","30","0","1","0"
"Gus Varland","WSH","RP","37.0","35","2","0","4.40","1.39","18","36","15","4","37","0","2","0"
"Brandon Williamson","CIN","SP","47.2","40","2","0","4.67","1.36","24","47","18","7","30","3","2","0"
"Juan Morillo","ARI","RP","48.7","45","2","0","4.26","1.48","23","47","25","5","50","0","2","0"
"Austin Peterson","CLE","SP","37.1","27","2","0","4.49","1.31","19","39","10","6","22","3","2","0"
"Grant Wolfram","BAL","RP","30.0","29","2","0","4.17","1.39","14","29","13","3","29","0","2","0"
"Grant Holman","ATH","RP","38.8","34","2","0","4.39","1.39","19","38","16","5","39","0","2","0"
"Kolby Allard","","SP,RP","46.0","35","2","0","4.52","1.37","23","48","15","7","40","0","2","0"
"Jackson Rutledge","WSH","SP,RP","57.1","49","2","0","4.71","1.40","30","57","23","8","51","0","3","0"
"Lou Trivino","","RP","41.5","37","2","0","4.53","1.39","21","40","18","6","41","0","2","0"
"Josh Simpson","MIA","RP","38.8","37","2","0","4.33","1.44","19","36","20","4","39","0","2","0"
"Daysbel Hernandez","ATL","RP","33.5","36","2","0","4.33","1.44","16","29","19","4","33","0","2","0"
"Hector Neris","KC","RP","28.0","29","2","0","4.37","1.37","14","25","13","4","28","0","2","0"
"Nick Raquet","STL","RP","34.2","27","2","0","4.30","1.37","16","35","12","4","33","0","2","0"
"Kaleb Ort","LAA","RP","36.1","36","2","0","4.60","1.38","18","32","17","5","36","0","2","0"
"Carter Baumler","TEX","SP,RP","49.6","43","2","0","4.59","1.41","25","48","22","6","47","0","3","0"
"Zach Pop","PHI","RP","46.6","36","2","0","4.52","1.39","23","48","17","6","46","0","3","0"
"Eduarniel Nunez","ATH","RP","45.8","46","2","0","4.42","1.48","23","41","27","6","44","0","2","0"
"Adam Mazur","MIA","SP","39.3","30","2","0","4.56","1.35","20","41","12","6","22","4","2","0"
"Shawn Dubin","ARI","RP","22.3","22","2","0","4.03","1.37","10","21","10","2","17","0","1","0"
"Jorge Lopez","","RP","33.7","28","2","0","4.45","1.36","17","34","12","4","34","0","2","0"
"Luis Curvelo","TEX","RP","31.5","29","2","0","4.50","1.36","16","29","13","4","30","0","2","0"
"Tayler Saucedo","LAA","RP","34.2","30","2","0","4.31","1.41","16","33","15","4","35","0","2","0"
"Pedro Avila","CLE","RP","34.8","31","2","0","4.42","1.40","17","34","15","4","26","2","2","0"
"Chase Lee","TOR","RP","24.5","24","1","0","4.07","1.25","11","23","8","3","23","0","1","0"
"Brandan Bidois","PIT","RP","38.5","36","2","0","4.46","1.44","19","36","19","5","38","0","3","0"
"Keaton Winn","SF","SP,RP","27.9","25","1","0","4.12","1.28","13","27","8","3","23","0","1","0"
"Chase Shugart","PHI","RP","37.9","31","2","0","4.57","1.38","19","37","15","5","35","0","2","0"
"Hayden Wesneski","HOU","SP","25.5","24","1","0","4.21","1.24","12","24","8","4","17","2","1","0"
"Bryan Hudson","CWS","RP","29.4","27","1","0","4.06","1.33","13","27","12","3","27","0","1","0"
"Keegan Thompson","COL","RP","35.7","35","2","0","4.62","1.42","18","35","16","5","32","0","2","0"
"Chris Roycroft","STL","RP","41.4","33","2","0","4.37","1.45","20","41","19","4","39","0","2","0"
"Scott Alexander","","RP","32.3","23","2","0","4.24","1.41","15","34","12","3","34","0","2","0"
"Yosver Zulueta","SEA","RP","23.7","25","1","0","3.86","1.35","10","20","12","2","22","0","1","0"
"Jonathan Pintaro","NYM","SP,RP","28.5","27","1","0","4.02","1.36","13","26","13","3","24","1","1","0"
"Luke Little","CHC","RP","21.7","24","1","0","3.68","1.37","9","17","13","2","22","0","1","0"
"Michael Petersen","MIA","RP","34.6","33","1","0","4.39","1.36","17","33","14","5","33","0","1","0"
"Andrew Morris","MIN","SP","25.2","21","1","0","4.14","1.28","12","25","7","3","24","0","1","0"
"Garrett Hawkins","SD","RP","25.4","26","1","0","4.19","1.33","12","23","11","4","25","0","1","0"
"Mason Barnett","ATH","SP","46.0","39","2","0","4.76","1.42","24","46","20","7","24","5","2","0"
"Richard Lovelady","NYM","RP","21.4","20","1","0","3.98","1.28","9","20","8","3","21","0","1","0"
"Colin Poche","","RP","32.9","30","2","0","4.68","1.41","17","30","16","5","34","0","2","0"
"Juan Burgos","ARI","RP","32.7","27","2","0","4.48","1.43","16","33","14","4","32","0","2","0"
"Liam Hendriks","","RP","23.3","24","1","0","4.25","1.30","11","21","9","3","24","0","1","0"
"Bryan Hoeing","SD","RP","30.4","25","1","0","4.27","1.33","14","30","10","4","22","2","1","0"
"Michel Otanez","TEX","RP","26.6","32","1","0","4.18","1.42","12","22","16","3","26","0","1","0"
"Sam Bachman","LAA","RP","32.5","27","2","0","4.44","1.45","16","32","16","4","31","0","2","0"
"Wikelman Gonzalez","CWS","SP,RP","54.8","53","2","0","4.74","1.49","29","49","33","7","49","0","3","0"
"Sammy Peralta","MIL","RP","25.6","22","1","0","4.24","1.30","12","25","9","3","22","0","1","0"
"Kendall Graveman","","RP","40.9","35","2","0","4.54","1.47","21","40","20","5","41","0","2","0"
"Philip Abner","ARI","RP","27.7","26","1","0","4.20","1.36","13","27","11","3","28","0","1","0"
"Josh Winckowski","TOR","RP","18.1","16","1","0","3.73","1.27","8","18","6","2","12","1","1","0"
"Derek Law","","RP","27.8","24","1","0","4.22","1.34","13","27","10","3","27","0","2","0"
"Joe Rock","TB","SP,RP","31.6","26","1","0","4.30","1.35","15","32","10","4","21","2","2","0"
"Michael Grove","","RP","17.4","19","1","0","4.15","1.24","8","16","6","3","12","1","1","0"
"Codi Heuer","CLE","RP","18.0","20","1","0","3.99","1.30","8","16","8","3","12","0","1","0"
"Jesse Scholtens","TB","SP,RP","30.9","27","1","0","4.47","1.33","15","31","10","5","26","0","1","0"
"Jose Suarez","ATL","RP","22.2","21","1","0","4.17","1.31","10","21","8","3","18","1","1","0"
"Ryan Feltner","COL","SP","112.5","90","5","0","5.22","1.50","65","121","47","17","27","20","8","0"
"Kervin Castro","NYY","RP","25.7","24","1","0","4.18","1.36","12","23","11","3","25","0","1","0"
"Matt Waldron","SD","SP","37.7","30","2","0","4.94","1.37","21","39","12","6","7","7","3","0"
"Spencer Turnbull","","SP,RP","62.3","47","3","0","4.95","1.47","34","65","27","8","13","12","4","0"
"Hunter Stratton","ATL","RP","23.0","21","1","0","4.22","1.31","11","22","8","3","22","0","1","0"
"Josh Walker","BAL","RP","29.1","32","2","0","4.80","1.46","16","27","16","5","26","0","2","0"
"Tyler Samaniego","BOS","RP","25.4","21","2","0","4.47","1.43","13","26","11","3","25","0","1","0"
"Danny Young","ATL","RP","18.9","20","1","0","3.90","1.35","8","17","9","2","20","0","1","0"
"John Rooney","TB","RP","17.5","21","1","0","3.85","1.37","8","14","11","2","13","0","1","0"
"Ryan Borucki","CWS","RP","19.2","19","1","0","4.06","1.31","9","17","8","3","20","0","1","0"
"Alex Carrillo","NYM","RP","23.4","26","1","0","4.36","1.36","11","20","12","3","22","0","2","0"
"Ryan Burr","","SP,RP","11.0","16","1","0","3.68","1.23","5","9","5","1","12","0","1","0"
"Ronel Blanco","HOU","SP","18.2","18","1","0","4.18","1.28","8","16","7","3","8","2","1","0"
"Scott McGough","","RP","31.3","28","2","0","4.86","1.42","17","31","13","5","30","0","2","0"
"Evan Reifert","TB","RP","19.7","22","1","0","4.12","1.37","9","17","10","2","19","0","1","0"
"Sean Guenther","DET","RP","19.0","15","1","0","3.93","1.30","8","19","6","2","18","0","1","0"
"Chris Devenski","PIT","RP","27.3","23","1","0","4.44","1.33","13","27","9","4","26","0","1","0"
"Franco Aleman","CLE","RP","20.5","23","1","0","4.17","1.38","10","18","10","3","20","0","1","0"
"McCade Brown","COL","SP","81.2","75","3","0","5.24","1.47","47","83","36","14","17","17","6","0"
"Jose Corniell","TEX","SP,RP","23.7","21","1","0","4.46","1.30","12","22","8","3","15","2","1","0"
"Cade Winquest","NYY","SP","38.8","30","2","0","4.82","1.42","21","39","16","5","36","0","2","0"
"Tyson Neighbors","BAL","RP","21.2","22","1","0","4.32","1.34","10","19","9","3","21","0","1","0"
"Dom Hamel","NYY","SP,RP","28.9","26","1","0","4.54","1.35","15","28","11","4","26","0","1","0"
"Trevor Williams","WSH","SP","32.9","26","1","0","4.57","1.35","17","35","10","5","20","3","2","0"
"Gregory Santos","SF","RP","21.0","19","1","0","3.89","1.41","9","20","10","2","20","0","1","0"
"Erick Fedde","","SP,RP","34.4","25","2","0","4.81","1.41","18","35","14","6","7","6","2","0"
"Brendan Beck","NYY","SP","18.0","15","1","0","4.23","1.26","8","18","5","3","18","0","1","0"
"Drew Sommers","DET","RP","20.1","17","1","0","3.99","1.36","9","20","8","2","21","0","1","0"
"Jhony Brito","SD","RP","21.7","17","1","0","4.26","1.32","10","22","7","3","19","1","1","0"
"Easton Lucas","","SP,RP","22.4","22","1","0","4.21","1.40","11","21","11","3","12","1","2","0"
"Ryan Johnson","LAA","RP","20.6","20","1","0","4.31","1.35","10","21","7","3","19","0","1","0"
"Carson Seymour","SF","SP,RP","22.0","19","1","0","4.18","1.37","10","22","9","2","18","0","1","0"
"Joey Gerber","NYM","SP,RP","20.7","20","1","0","4.47","1.32","10","20","8","3","20","0","1","0"
"Jayden Murray","HOU","RP","29.4","25","1","0","4.48","1.38","15","29","12","4","29","0","1","0"
"Daison Acosta","SD","RP","20.0","21","1","0","4.22","1.39","9","17","11","2","20","0","1","0"
"Kyle Backhus","PHI","RP","21.8","21","1","0","4.32","1.37","10","21","9","3","24","0","1","0"
"Daniel Robert","","RP","11.1","12","1","0","3.66","1.26","5","10","5","1","12","0","1","0"
"Lazaro Estrada","TOR","SP,RP","20.5","19","1","0","4.53","1.30","10","20","6","3","17","0","1","0"
"Jorge Alcala","TOR","RP","22.0","23","1","0","4.57","1.35","11","20","9","4","22","0","1","0"
"Hunter Strickland","","RP","34.4","27","2","0","4.90","1.43","19","34","15","5","34","0","2","0"
"Sean Sullivan","COL","SP","44.7","33","2","0","5.09","1.39","25","49","13","8","8","8","3","0"
"Cole Wilcox","SEA","RP","23.6","19","1","0","4.27","1.37","11","23","9","3","22","0","1","0"
"Paul Gervase","LAD","RP","23.8","25","1","0","4.53","1.39","12","21","12","4","23","0","1","0"
"Riley Martin","CHC","RP","19.8","20","1","0","4.08","1.43","9","18","11","2","19","0","1","0"
"Ryan Harbin","PIT","RP","35.7","34","2","0","4.63","1.55","18","35","21","4","35","0","2","0"
"Carlos Hernandez","CLE","RP","18.1","18","1","0","4.27","1.36","9","17","8","2","17","0","1","0"
"Zach Agnos","COL","RP","48.2","38","2","1","5.00","1.46","27","50","20","8","47","0","3","0"
"George Soriano","ATL","RP","26.2","25","1","0","4.63","1.38","13","25","11","4","20","0","1","0"
"Shane Drohan","BOS","SP","16.6","16","1","0","4.21","1.35","8","15","7","2","16","0","1","0"
"Luis Guerrero","TB","RP","29.8","27","2","0","4.85","1.49","16","28","17","4","28","0","2","0"
"Brycen Mautz","STL","SP","17.4","15","1","0","4.32","1.32","8","17","6","2","15","1","1","0"
"Mason Black","KC","SP,RP","45.6","37","2","0","4.95","1.46","25","46","20","7","24","4","3","0"
"AJ Smith-Shawver","ATL","SP","13.5","14","1","0","4.24","1.30","6","12","5","2","6","2","1","0"
"Dillon Tate","","RP","14.5","13","1","0","4.03","1.34","7","13","7","1","13","0","1","0"
"Angel Bastardo","TOR","SP","18.9","18","1","0","4.33","1.38","9","18","8","2","16","1","1","0"
"Domingo Gonzalez","SEA","RP","16.6","16","1","0","4.30","1.35","8","15","7","2","17","0","1","0"
"Genesis Cabrera","PHI","RP","25.9","24","1","0","4.57","1.40","13","25","11","4","25","0","1","0"
"Jose Espada","BAL","RP","17.1","18","1","0","4.39","1.37","8","15","8","2","15","0","1","0"
"Mike Clevinger","","RP","30.8","24","2","0","5.05","1.42","17","32","12","5","11","5","2","0"
"Alex Faedo","","SP,RP","13.3","14","1","0","4.40","1.28","7","12","5","2","8","1","1","0"
"Jackson Kowar","SEA","RP","28.6","27","1","0","4.61","1.42","15","27","14","4","28","0","2","0"
"Robert Stock","NYM","SP,RP","19.0","21","1","0","4.27","1.45","9","17","11","3","13","1","1","0"
"Welinton Herrera","COL","RP","22.3","22","1","0","4.45","1.42","11","22","10","3","22","0","2","0"
"Duncan Davitt","CWS","SP","35.5","27","1","0","4.77","1.37","19","37","12","5","15","5","2","0"
"Prelander Berroa","CWS","RP","30.0","31","1","0","4.53","1.48","15","27","18","4","30","0","2","0"
"Joey Estes","ATH","SP","28.0","21","1","0","4.92","1.30","15","29","8","5","23","1","1","0"
"Alan Rangel","PHI","SP,RP","26.9","22","1","0","4.76","1.35","14","27","9","5","13","3","1","0"
"Thomas Harrington","PIT","SP,RP","29.6","24","1","0","4.74","1.37","16","31","10","4","11","5","2","0"
"Roansy Contreras","","SP,RP","35.4","26","2","0","4.95","1.45","20","37","15","6","22","1","3","0"
"Ty Madden","DET","RP","22.2","20","1","0","4.55","1.39","11","22","9","3","14","2","1","0"
"Albert Suarez","BAL","SP,RP","21.9","18","1","0","4.58","1.36","11","22","7","3","19","0","1","0"
"Alek Jacob","SD","RP","31.2","28","1","0","4.75","1.41","16","30","14","5","29","0","2","0"
"Wade Miley","","SP","49.6","32","2","0","4.91","1.44","27","53","18","7","10","10","4","1"
"David Sandlin","BOS","SP,RP","19.7","17","1","0","4.53","1.36","10","20","7","3","20","0","1","0"
"Cameron Foster","BAL","RP","22.5","20","1","0","4.57","1.39","11","23","9","3","22","0","1","0"
"Alec Marsh","KC","SP","12.2","12","1","0","4.26","1.31","6","11","4","2","3","1","1","0"
"Carson Fulmer","","SP,RP","20.3","19","1","0","4.44","1.41","10","20","9","3","10","1","1","0"
"K.C. Hunt","MIL","SP","12.0","11","1","0","4.28","1.28","6","11","4","2","12","0","1","0"
"J.P. France","HOU","SP,RP","23.4","20","1","0","4.54","1.40","12","23","10","3","20","0","1","0"
"Marco Raya","MIN","SP,RP","19.5","17","1","0","4.39","1.40","10","19","8","2","19","0","1","0"
"Gavin Hollowell","CHC","RP","17.5","18","1","0","4.44","1.41","9","16","9","2","17","0","1","0"
"Marc Church","TEX","RP","35.5","33","2","0","4.85","1.54","19","34","21","5","34","0","2","0"
"Braden Nett","ATH","SP","35.9","29","2","0","4.87","1.50","19","36","18","5","17","5","2","0"
"Cam Booser","TB","RP","20.2","23","1","0","4.58","1.45","10","19","10","3","21","0","1","0"
"Sauryn Lao","","RP","10.4","8","1","0","3.95","1.27","5","10","4","1","8","0","1","0"
"Jake Miller","DET","SP","14.2","12","1","0","4.33","1.33","7","14","5","2","14","0","1","0"
"Dane Dunning","SEA","SP,RP","13.4","12","1","0","4.28","1.34","6","13","4","2","9","1","1","0"
"Bryce Montes de Oca","WSH","RP","13.0","15","1","0","4.01","1.47","6","11","8","1","13","0","1","0"
"Tanner Gordon","COL","SP","126.1","87","5","0","5.47","1.44","77","150","31","24","24","24","10","0"
"Kevin Herget","NYM","RP","9.7","8","1","0","4.18","1.23","5","9","3","1","6","0","0","0"
"Miguel Castro","LAA","RP","24.3","21","1","0","4.61","1.41","12","23","11","3","24","0","1","0"
"T.J. McFarland","","RP","29.4","20","1","0","4.46","1.42","15","32","10","3","31","0","2","0"
"Tanner Rainey","DET","RP","15.4","16","1","0","4.41","1.41","8","14","8","2","16","0","1","0"
"Caleb Boushley","","RP","24.9","19","1","0","4.52","1.41","13","27","9","4","15","1","2","0"
"Nick Anderson","ATH","RP","20.8","19","1","0","4.67","1.39","11","21","8","3","20","0","1","0"
"Shane Murphy","CWS","RP","18.0","12","1","0","4.57","1.31","9","19","5","3","18","0","1","0"
"Julian Aguiar","CIN","SP","33.1","24","1","0","4.84","1.37","18","35","10","5","25","2","2","0"
"Jhonathan Diaz","SEA","RP","12.3","9","1","0","4.15","1.32","6","13","4","1","6","2","1","0"
"Brian Van Belle","TB","SP,RP","11.6","9","1","0","4.26","1.29","6","12","3","2","5","1","1","0"
"Valente Bellozo","","SP,RP","15.9","12","1","0","4.25","1.38","8","17","5","3","4","4","1","0"
"Alex Hoppe","SEA","RP","14.9","13","1","0","4.16","1.42","7","14","7","2","15","0","1","0"
"Ronan Kopp","LAD","SP,RP","13.6","15","1","0","4.18","1.46","6","11","9","2","13","0","1","0"
"Jack Neely","CHC","RP","19.0","20","1","0","4.58","1.44","10","17","10","3","19","0","1","0"
"Eric Cerantola","KC","RP","19.6","19","1","0","4.45","1.45","10","18","11","2","19","0","1","0"
"Ryan Loutos","SEA","RP","20.8","18","1","0","4.50","1.42","10","20","9","3","21","0","1","0"
"Jackson Wolf","SD","SP","11.3","10","1","0","4.32","1.31","5","11","4","2","11","0","1","0"
"John Brebbia","","RP","22.4","22","1","0","4.87","1.39","12","23","8","4","22","0","1","0"
"Jhancarlos Lara","ATL","SP,RP","14.4","16","1","0","4.18","1.49","7","12","9","1","14","0","1","0"
"Enoli Paredes","BAL","RP","8.6","10","1","0","4.19","1.34","4","7","5","1","8","0","1","0"
"Spencer Miles","TOR","SP","18.1","17","1","0","4.40","1.45","9","18","8","3","18","0","1","0"
"Austin Love","STL","SP","29.4","25","1","0","4.68","1.44","15","29","13","4","29","0","2","0"
"Landon Knack","LAD","SP","24.0","21","1","0","4.91","1.37","13","23","10","4","13","3","1","0"
"Orlando Ribalta","WSH","RP","37.5","35","1","0","4.74","1.48","20","36","19","5","37","0","2","0"
"Jack Little","DET","RP","12.6","10","1","0","4.29","1.35","6","12","5","1","8","0","1","0"
"Tanner Houck","BOS","SP","18.0","14","1","0","4.61","1.36","9","18","6","2","3","2","1","0"
"James Karinchak","ATL","RP","11.9","14","1","0","4.51","1.40","6","10","6","2","12","0","1","0"
"Bryan Sammons","DET","RP","19.6","18","1","0","4.59","1.43","10","19","10","4","4","1","1","0"
"Dan Altavilla","MIN","RP","34.1","28","1","0","4.67","1.46","18","33","17","4","34","0","2","0"
"Dugan Darnell","DET","RP","10.7","11","1","0","4.22","1.41","5","9","6","1","8","0","1","0"
"Kyle Keller","","RP","33.0","32","1","0","4.86","1.46","18","32","16","5","33","0","1","0"
"Robinson Pina","","SP,RP","9.5","8","1","0","4.25","1.31","5","10","3","2","8","1","1","0"
"Christian MacLeod","MIN","P","10.6","10","1","0","4.28","1.37","5","10","5","1","10","0","0","0"
"Nolan Hoffman","PHI","SP,RP","16.4","15","1","0","4.42","1.44","8","16","8","2","16","0","1","0"
"Josh Ekness","MIA","RP","17.2","15","1","0","4.46","1.43","9","17","8","2","17","0","1","0"
"Scott Effross","DET","RP","17.6","12","1","0","4.41","1.39","9","19","6","2","18","0","1","0"
"Doug Nikhazy","CLE","SP,RP","29.5","26","1","0","4.70","1.46","15","29","14","4","20","2","2","0"
"Jose Franco","CIN","SP,RP","16.0","15","1","0","4.73","1.38","8","15","7","2","16","0","1","0"
"Rolddy Munoz","ATL","RP","19.8","18","1","0","4.50","1.46","10","19","10","2","19","0","1","0"
"Carlos Carrasco","ATL","SP","37.0","28","2","0","5.06","1.48","21","41","13","6","8","8","2","0"
"Taylor Rashi","","RP","12.3","12","1","0","4.23","1.45","6","12","6","1","11","0","0","0"
"Blake Walston","ARI","RP","17.1","14","1","0","4.52","1.41","9","17","7","2","14","1","1","0"
"William Kempner","MIA","RP","24.1","23","1","0","4.67","1.47","13","23","13","3","24","0","2","0"
"Jayvien Sandridge","NYY","RP","14.9","17","1","0","4.45","1.50","7","13","9","2","16","0","1","0"
"Will Johnston","ATH","SP,RP","11.3","11","1","0","4.35","1.41","5","10","6","2","11","0","1","0"
"A.J. Causey","KC","P","15.4","13","1","0","4.59","1.39","8","15","6","2","15","0","1","0"
"Bryse Wilson","PHI","SP,RP","29.9","21","1","0","4.83","1.39","16","32","9","5","14","3","2","0"
"Shinnosuke Ogasawara","WSH","SP,RP","14.1","10","1","0","4.49","1.36","7","15","4","2","11","0","1","0"
"Chris Flexen","","RP","25.9","20","1","0","4.69","1.43","14","28","9","4","12","1","2","0"
"Ben Lively","","SP","19.0","14","1","0","4.74","1.37","10","20","7","4","4","4","1","0"
"Jake Eder","WSH","SP,RP","28.5","23","1","0","4.83","1.42","15","29","11","4","25","0","2","0"
"Jake Bloss","TOR","SP","14.1","12","1","0","4.62","1.38","7","14","6","2","13","0","1","0"
"Isaiah Campbell","ARI","RP","18.9","14","1","0","4.53","1.42","10","20","7","2","19","0","1","0"
"Francis Pena","SD","RP","13.5","11","1","0","4.31","1.44","6","13","6","2","13","0","1","0"
"Lyon Richardson","CIN","RP","23.6","20","1","0","4.56","1.48","12","23","12","3","21","0","1","0"
"Hans Crouse","BAL","RP","8.0","9","1","0","4.47","1.38","4","7","4","1","8","0","1","0"
"Dax Fulton","MIA","SP","19.0","16","1","0","4.51","1.47","10","19","9","2","12","2","1","0"
"Tate Kuehner","MIL","P","9.5","8","1","0","4.31","1.39","5","9","5","1","9","0","1","0"
"Ryan Rolison","CHC","RP","20.1","15","1","0","4.62","1.43","10","21","8","3","18","0","1","0"
"Jeff Criswell","COL","RP","20.2","20","1","0","4.87","1.45","11","21","9","3","19","0","1","0"
"Ben Bowden","ATH","RP","12.1","13","1","0","4.48","1.49","6","11","8","1","14","0","1","0"
"Yilber Diaz","ARI","RP","30.3","29","1","1","4.81","1.53","16","29","17","4","23","2","1","0"
"Andrew Sears","DET","SP","9.5","8","1","0","4.50","1.37","5","9","4","1","9","0","1","0"
"Lucas Sims","","RP","32.6","32","2","0","5.24","1.54","19","29","21","5","34","0","2","0"
"John Curtiss","ARI","RP","21.1","17","1","0","4.90","1.40","12","22","8","4","18","0","2","0"
"Freddy Tarnok","MIA","SP,RP","12.6","12","1","0","4.65","1.43","7","11","7","2","7","1","1","0"
"Zack Thompson","STL","RP","14.0","14","1","0","4.65","1.47","7","13","8","2","9","1","1","0"
"Seth Martinez","BOS","RP","11.0","9","1","0","4.59","1.39","6","11","4","2","11","0","1","0"
"Brandon Waddell","NYM","RP","21.8","18","1","0","4.75","1.45","11","22","9","3","12","0","1","0"
"Joe La Sorsa","PIT","RP","15.0","10","1","0","4.44","1.43","7","16","6","2","14","0","1","0"
"Scott Blewett","STL","RP","23.5","18","1","0","4.80","1.43","13","25","9","3","21","0","1","0"
"Cam Sanders","PIT","RP","26.1","26","1","0","4.70","1.53","14","24","16","3","25","0","1","0"
"Henry Baez","ATH","SP","17.5","12","1","0","4.62","1.42","9","18","7","2","5","3","1","0"
"Ken Waldichuk","TB","SP","24.1","23","1","0","4.90","1.47","13","23","12","4","12","2","1","0"
"Dale Stanavich","MIA","RP","13.8","13","1","0","4.49","1.50","7","13","8","2","14","0","1","0"
"Robby Ahlstrom","TEX","RP","22.2","19","1","0","4.71","1.48","12","22","11","3","22","0","1","0"
"Jake Miller","CLE","P","16.0","12","1","0","4.66","1.43","8","17","6","2","16","0","1","0"
"Angel Chivilli","NYY","RP","30.1","26","1","0","4.91","1.46","16","33","11","5","28","0","2","0"
"Seth Johnson","PHI","SP,RP","22.9","21","1","0","4.81","1.48","12","23","11","3","20","1","1","0"
"Josh Staumont","CIN","RP","13.0","13","1","0","4.76","1.46","7","12","7","2","13","0","1","0"
"Gabriel Hughes","COL","SP","40.4","28","2","0","5.08","1.49","23","45","15","6","17","6","3","0"
"Alexander Alberto","CWS","RP","47.8","39","2","0","4.93","1.55","26","48","26","6","47","0","3","0"
"Christian Montes De Oca","ARI","RP","11.2","9","1","0","4.83","1.39","6","11","5","2","5","0","1","0"
"Thomas Hatch","ARI","SP,RP","18.2","14","1","0","4.85","1.43","10","19","7","3","7","1","1","0"
"Nick Burdi","NYM","RP","10.7","12","0","0","3.82","1.34","5","9","6","1","11","0","0","0"
"Yunior Marte","CIN","RP","18.0","16","1","0","4.89","1.47","10","19","8","3","18","0","1","0"
"Sam Long","","RP","21.5","20","1","0","4.81","1.51","12","22","11","3","22","0","2","0"
"Ky Bush","CWS","SP","18.2","14","1","0","4.66","1.49","9","18","9","2","13","1","1","0"
"Will Childers","MIL","RP","10.5","9","1","0","4.61","1.49","5","11","5","2","10","0","1","0"
