"Points","Roto","Change","Player","Pos.","Team","Age","Level","ETA"
"34","51","51","Kevin McGonigle","SS","DET","21","AA","2026"
"32","52","17","Jesus Made","SS","MIL","18","AA","2027"
"41","53","11","Leodalis De Vries","SS","OAK","19","AA","2026"
"63","54","2","Spencer Schwellenbach","SP","ATL","25","",""
"59","55","-3","Josh Naylor","1B","SEA","28","",""
"51","56","17","Bryan Woo","SP","SEA","25","",""
"53","57","1","Joe Ryan","SP","MIN","29","",""
"65","58","1","George Kirby","SP","SEA","27","",""
"55","59","7","Max Fried","SP","NYY","31","",""
"64","60","16","William Contreras","C","MIL","27","",""
"71","61","28","Jeremy Pena","SS","HOU","28","",""
"74","62","-33","Austin Riley","3B","ATL","28","",""
"93","63","86","Andres Munoz","RP","SEA","26","",""
"84","64","-24","Corey Seager","SS","TEX","31","",""
"67","65","3","Seiya Suzuki","RF","CHC","31","",""
"38","66","4","Sebastian Walcott","SS","TEX","19","AA","2026"
"57","67","154","Geraldo Perdomo","SS","AZ","26","",""
"72","68","28","Bo Bichette","SS","FA","27","",""
"61","69","14","Freddy Peralta","SP","MIL","29","",""
"60","70","17","Cody Bellinger","LF","FA","30","",""
"85","71","-14","Alex Bregman","3B","FA","31","",""
"48","72","22","Samuel Basallo","C","BAL","21","MLB",""
"58","73","-8","Logan Webb","SP","SF","29","",""
"79","74","51","Tyler Soderstrom","LF","ATH","24","",""
"69","75","-20","Jackson Holliday","2B","BAL","22","",""
"90","76","-38","Spencer Strider","SP","ATL","27","",""
"81","77","-36","Jarren Duran","LF","BOS","29","",""
"83","78","106","Brice Turang","2B","MIL","26","",""
"68","79","71","Maikel Garcia","3B","KC","25","",""
"107","80","-1","Blake Snell","SP","LAD","33","",""
"86","81","70","Michael Busch","1B","CHC","28","",""
"75","82","36","Jacob deGrom","SP","TEX","37","",""
"92","83","-30","Freddie Freeman","1B","LAD","36","",""
"73","84","8","Vinnie Pasquantino","1B","KC","28","",""
"94","85","18","Chris Sale","SP","ATL","36","",""
"122","86","-4","Chase Burns","SP","CIN","22","",""
"82","87","-24","Dylan Cease","SP","TOR","29","",""
"98","88","97","Ben Rice","1B","NYY","26","",""
"114","89","79","Jhoan Duran","RP","PHI","27","",""
"104","90","105","Agustin Ramirez","C","MIA","24","",""
"62","91","54","Colt Emerson","SS","SEA","20","AAA","2026"
"70","92","35","JJ Wetherholt","SS","STL","23","AAA","2026"
"99","93","138","Shea Langeliers","C","ATH","28","",""
"100","94","107","Byron Buxton","CF","MIN","31","",""
"116","95","97","Edwin Diaz","RP","LAD","31","",""
"97","96","-61","Oneil Cruz","CF","PIT","27","",""
"76","97","62","Jesus Luzardo","SP","PHI","28","",""
"112","98","-26","Jordan Westburg","3B","BAL","26","",""
"108","99","148","Drake Baldwin","C","ATL","24","",""
"117","100","6","Tyler Glasnow","SP","LAD","32","",""
"103","101","-40","Lawrence Butler","RF","ATH","25","",""
"101","102","53","Andy Pages","CF","LAD","25","",""
"131","103","-25","Jacob Misiorowski","SP","MIL","23","",""
"80","104","354","Nolan McLean","SP","NYM","24","MLB",""
"87","105","34","Bryce Eldridge","1B","SF","21","MLB",""
"89","106","-16","Framber Valdez","SP","FA","32","",""
"126","107","47","Kyle Stowers","LF","MIA","27","",""
"88","108","-1","Max Clark","OF","DET","20","AA","2027"
"110","109","39","Randy Arozarena","LF","SEA","30","",""
"113","110","76","Hunter Goodman","C","COL","26","",""
"141","111","331","Cade Smith","RP","CLE","26","",""
"91","112","5","Walker Jenkins","OF","MIN","20","AAA","2026"
"137","113","11","Isaac Paredes","3B","HOU","26","",""
"95","114","-6","Michael Harris II","CF","ATL","24","",""
"115","115","27","Willy Adames","SS","SF","30","",""
"123","116","-17","Christian Yelich","LF","MIL","34","",""
"167","117","43","Luke Keaschall","2B","MIN","23","",""
"150","118","-34","Will Smith","C","LAD","30","",""
"118","119","3","Matt Shaw","3B","CHC","24","",""
"138","120","-49","Michael King","SP","SD","30","",""
"119","121","-85","Zack Wheeler","SP","PHI","35","",""
"192","122","243","Kyle Bradish","SP","BAL","29","",""
"102","123","-26","Bubba Chandler","SP","PIT","23","MLB",""
"111","124","65","Nick Pivetta","SP","SD","32","",""
"143","125","72","Spencer Torkelson","1B","DET","26","",""
"124","126","-51","MacKenzie Gore","SP","WSH","26","",""
"165","127","-50","Pablo Lopez","SP","MIN","29","",""
"181","128","-17","Josh Hader","RP","HOU","31","",""
"162","129","5","Mike Trout","RF","LAA","34","",""
"125","130","11","Ceddanne Rafaela","CF","BOS","25","",""
"174","131","295","Emmet Sheehan","SP","LAD","26","",""
"132","132","68","Nick Lodolo","SP","CIN","27","",""
"144","133","-42","Jacob Wilson","SS","ATH","23","",""
"96","134","227","Trey Yesavage","SP","TOR","22","MLB",""
"155","135","69","Addison Barger","3B","TOR","26","",""
"134","136","-56","Jac Caglianone","RF","KC","22","",""
"209","137","-22","Roki Sasaki","SP","LAD","24","",""
"135","138","-12","Jose Altuve","LF","HOU","35","",""
"147","139","169","Jo Adell","CF","LAA","26","",""
"191","140","25","Jonathan Aranda","1B","TB","27","",""
"148","141","55","Sandy Alcantara","SP","MIA","30","",""
"173","142","-57","Teoscar Hernandez","RF","LAD","33","",""
"145","143","28","Nico Hoerner","2B","CHC","28","",""
"153","144","35","Ryan Pepiot","SP","TB","28","",""
"157","145","62","Eugenio Suarez","3B","SEA","34","",""
"161","146","-8","Heliot Ramos","LF","SF","26","",""
"178","147","17","Matt Chapman","3B","SF","32","",""
"109","148","143","Aidan Miller","SS","PHI","21","AAA","2026"
"128","149","337","Carson Benge","OF","NYM","22","AAA","2026"
"156","150","75","Gavin Williams","SP","CLE","26","",""
"120","151","108","Sal Stewart","3B","CIN","22","MLB",""
"127","152","-59","Luis Pena","SS","MIL","19","A+","2028"
"180","153","-30","Ivan Herrera","C","STL","25","",""
"229","154","58","Jackson Jobe","SP","DET","23","",""
"56","155","0","George Lombard","SS","NYY","20","",""
"146","156","35","Jared Jones","SP","PIT","24","",""
"164","157","-28","Luis Robert Jr.","CF","CWS","28","",""
"130","158","-42","Travis Bazzana","2B","CLE","23","AAA","2026"
"171","159","143","Drew Rasmussen","SP","TB","30","",""
"149","160","0","Tatsuya Imai","SP","FA","27","",""
"224","161","283","Cam Schlittler","SP","NYY","24","",""
"133","162","220","Thomas White","SP","MIA","21","AAA","2026"
"225","163","67","Devin Williams","RP","NYM","31","",""
"179","164","-18","Royce Lewis","3B","MIN","26","",""
"172","165","54","Shane Baz","SP","TB","26","",""
"142","166","12","Eduardo Quintero","OF","LAD","20","A+","2028"
"163","167","-67","Ozzie Albies","2B","ATL","28","",""
"166","168","38","Robbie Ray","SP","SF","34","",""
"216","169","-95","Jasson Dominguez","LF","NYY","22","",""
"159","170","-82","Steven Kwan","LF","CLE","28","",""
"227","171","-27","Bryce Miller","SP","SEA","27","",""
"231","172","238","Raisel Iglesias","RP","ATL","35","",""
"194","173","-41","Kris Bubic","SP","KC","28","",""
"136","174","96","Bryce Rainer","SS","DET","20","A","2028"
"200","175","106","Noelvi Marte","3B","CIN","24","",""
"152","176","-66","Carlos Rodon","SP","NYY","33","",""
"207","177","-82","Adley Rutschman","C","BAL","27","",""
"203","178","-77","Shota Imanaga","SP","CHC","32","",""
"206","179","-42","Kerry Carpenter","RF","DET","28","",""
"168","180","211","Payton Tolle","SP","BOS","23","MLB",""
"277","181","93","Shane Bieber","SP","TOR","30","",""
"199","182","-68","Dylan Crews","RF","WSH","23","",""
"220","183","60","Kyle Manzardo","1B","CLE","25","",""
"198","184","161","Edward Cabrera","SP","MIA","27","",""
"182","185","-52","Grayson Rodriguez","SP","LAA","26","",""
"186","186","102","Ranger Suarez","SP","PHI","30","",""
"184","187","52","Kevin Gausman","SP","TOR","34","",""
"195","188","-30","Luis Castillo","SP","SEA","33","",""
"248","189","-122","Kristian Campbell","2B","BOS","23","",""
"169","190","-43","Josue De Paula","CF","LAD","20","AA","2026"
"188","191","53","Yandy Diaz","1B","TB","34","",""
"272","192","30","Corbin Burnes","SP","AZ","31","",""
"245","193","-21","Wilyer Abreu","RF","BOS","26","",""
"273","194","173","Colson Montgomery","SS","CWS","23","",""
"284","195","0","Jakob Marsee","CF","MIA","24","",""
"260","196","0","Daylen Lile","RF","WSH","23","",""
"230","197","23","Nathan Eovaldi","SP","TEX","35","",""
"250","198","-45","Cam Smith","RF","HOU","22","",""
"256","199","47","Cade Horton","SP","CHC","24","",""
"236","200","136","Sal Frelick","RF","MIL","25","",""
"314","201","122","Justin Steele","SP","CHC","30","",""
"176","202","26","Kade Anderson","SP","SEA","21","ROK","2027"
"197","203","-20","Sonny Gray","SP","BOS","36","",""
"213","204","-83","Tanner Bibee","SP","CLE","26","",""
"296","205","200","David Bednar","RP","NYY","31","",""
"228","206","39","Chandler Simpson","CF","TB","25","",""
"266","207","-51","Marcelo Mayer","3B","BOS","23","",""
"193","208","-95","Ethan Holliday","SS","COL","18","A","2029"
"259","209","-22","Ian Happ","LF","CHC","31","",""
"282","210","-33","Aaron Nola","SP","PHI","32","",""
"300","211","38","Brandon Woodruff","SP","MIL","32","",""
"254","212","17","Brandon Nimmo","LF","TEX","32","",""
"252","213","56","Taylor Ward","LF","BAL","32","",""
"232","214","-84","Yainer Diaz","C","HOU","27","",""
"253","215","86","George Springer","RF","TOR","36","",""
"210","216","1","Gerrit Cole","SP","NYY","35","",""
"313","217","24","Kyle Teel","C","CWS","23","",""
"312","218","8","Ryan Helsley","RP","BAL","31","",""
"274","219","-76","Willson Contreras","1B","STL","33","",""
"263","220","0","Mickey Moniak","RF","COL","27","",""
"222","221","-48","Eli Willits","SS","WSH","18","A","2029"
"226","222","-47","Brenton Doyle","CF","COL","27","",""
"301","223","143","Daulton Varsho","CF","TOR","29","",""
"201","224","-105","Zyhir Hope","CF","LAD","20","AA","2027"
"205","225","-127","Andrew Painter","SP","PHI","22","MLB",""
"257","226","-3","Xavier Edwards","SS","MIA","26","",""
"189","227","-18","Jonah Tong","SP","NYM","22","MLB",""
"261","228","221","Rainiel Rodriguez","C","STL","18","A+","2028"
"196","229","-39","Lazaro Montes","OF","SEA","21","AA","2026"
"214","230","-22","Josue Briceno","C","DET","21","AA","2027"
"325","231","0","Hurston Waldrep","SP","ATL","23","",""
"204","232","208","Robby Snelling","SP","MIA","21","AAA","2025"
"267","233","-1","Dansby Swanson","SS","CHC","31","",""
"285","234","-94","Colton Cowser","LF","BAL","25","",""
"275","235","55","Andrew Abbott","SP","CIN","26","",""
"233","236","69","Jett Williams","SS","NYM","22","AAA","2025"
"281","237","-106","Ezequiel Tovar","SS","COL","24","",""
"289","238","133","Alejandro Kirk","C","TOR","27","",""
"309","239","-57","Coby Mayo","1B","BAL","24","",""
"280","240","-66","Masyn Winn","SS","STL","23","",""
"286","241","-113","Matt McLain","2B","CIN","26","",""
"268","242","215","Trevor Story","SS","BOS","33","",""
"330","243","153","Max Meyer","SP","MIA","26","",""
"338","244","180","AJ Smith-Shawver","SP","ATL","23","",""
"303","245","3","Brandon Lowe","2B","TB","31","",""
"241","246","304","Carter Jensen","C","KC","22","MLB",""
"315","247","0","Trevor Rogers","SP","BAL","28","",""
"298","248","-136","Bryan Reynolds","RF","PIT","30","",""
"246","249","-82","Mark Vientos","3B","NYM","26","",""
"308","250","-48","Alec Burleson","1B","STL","27","",""
"247","251","-41","Braden Montgomery","OF","CWS","22","AA","2027"
"294","252","-64","Jack Flaherty","SP","DET","30","",""
"342","253","180","Giancarlo Stanton","DH","NYY","36","",""
"278","254","-149","Shane McClanahan","SP","TB","28","",""
"348","255","0","Connelly Early","SP","BOS","23","",""
"270","256","112","Seth Hernandez","SP","PIT","19","ROK","2029"
"304","257","0","Lenyn Sosa","2B","CWS","25","",""
"316","258","0","Ramon Laureano","RF","SD","31","",""
"336","259","0","Emilio Pagan","RP","CIN","34","",""
"105","260","0","Luis Garcia (2B)","2B","WSH","25","",""
"311","261","-34","Bryson Stott","2B","PHI","28","",""
"334","262","236","Brett Baty","3B","NYM","26","",""
"318","263","200","Jordan Beck","LF","COL","24","",""
"291","264","0","Munetaka Murakami","1B","CWS","25","",""
"324","265","12","Casey Mize","SP","DET","28","",""
"306","266","-50","Zac Gallen","SP","FA","30","",""
"258","267","82","Ryan Waldschmidt","OF","AZ","23","AA","2027"
"328","268","144","Jack Leiter","SP","TEX","25","",""
"106","269","204","Alex Freeland","SS","LAD","24","MLB",""
"317","270","164","Otto Lopez","2B","MIA","27","",""
"327","271","0","Kaelen Culpepper","SS","MIN","22","AA","2027"
"331","272","0","Quinn Priester","SP","MIL","25","",""
"350","273","-110","Kodai Senga","SP","NYM","32","",""
"363","274","-20","Gabriel Moreno","C","AZ","25","",""
"364","275","0","Abner Uribe","RP","MIL","25","",""
"343","276","-78","Brendan Donovan","2B","STL","28","",""
"368","277","217","Aroldis Chapman","RP","BOS","37","",""
"337","278","-117","Gleyber Torres","2B","DET","29","",""
"351","279","187","Jose Caballero","SS","NYY","29","",""
"377","280","0","Dennis Santana","RP","PIT","29","",""
"380","281","-87","Francisco Alvarez","C","NYM","24","",""
"288","282","-22","Edward Florentino","OF","PIT","19","A","2029"
"185","283","0","Ronny Henriquez","RP","MIA","25","",""
"339","284","-29","Nolan Schanuel","1B","LAA","23","",""
"391","285","85","Trevor Megill","RP","MIL","32","",""
"384","286","-52","Reese Olson","SP","DET","26","",""
"341","287","66","Brayan Bello","SP","BOS","26","",""
"319","288","171","Ryan Sloan","SP","SEA","19","A+","2028"
"346","289","196","Noah Cameron","SP","KC","26","",""
"393","290","21","Ryan Weathers","SP","MIA","25","",""
"320","291","9","Franklin Arias","SS","BOS","20","AA","2027"
"378","292","-79","Zebby Matthews","SP","MIN","25","",""
"321","293","84","JoJo Parker","SS","TOR","19","ROK","2029"
"568","294","0","Kenley Jansen","RP","LAA","38","",""
"354","295","-34","Carlos Correa","SS","HOU","31","",""
"307","296","-160","Anthony Volpe","SS","NYY","24","",""
"349","297","0","Shane Smith","SP","CWS","25","",""
"369","298","80","Max Muncy","3B","LAD","35","",""
"322","299","168","Mike Sirota","OF","LAD","22","A+","2027"
"335","300","85","Jamie Arnold","SP","MIA","21","ROK","2027"
"302","301","-66","Moises Ballesteros","C","CHC","22","MLB",""
"381","302","19","Jurickson Profar","LF","ATL","32","",""
"392","303","0","Daniel Palencia","RP","CHC","25","",""
"355","304","-195","Jordan Lawlar","SS","AZ","23","",""
"352","305","-136","Josh Lowe","RF","TB","27","",""
"366","306","148","Jorge Polanco","2B","SEA","32","",""
"365","307","35","Triston Casas","1B","BOS","25","",""
"358","308","-138","Dalton Rushing","C","LAD","24","",""
"376","309","-189","Colt Keith","2B","DET","24","",""
"387","310","172","Braxton Ashcraft","SP","PIT","26","",""
"212","311","0","Riley O'Brien","RP","STL","30","",""
"340","312","8","Salvador Perez","C","KC","35","",""
"359","313","124","Ryne Nelson","SP","AZ","27","",""
"361","314","-133","Spencer Steer","1B","CIN","28","",""
"374","315","-104","Taj Bradley","SP","MIN","24","",""
"332","316","161","Aiva Arquette","SS","MIA","22","A+","2028"
"379","317","-34","Alec Bohm","3B","PHI","29","",""
"347","318","0","Joshua Baez","RF","STL","22","",""
"372","319","16","Caleb Durbin","3B","MIL","25","",""
"367","320","12","Will Warren","SP","NYY","26","",""
"382","321","108","Miguel Vargas","3B","CWS","26","",""
"388","322","0","Trent Grisham","CF","NYY","29","",""
"344","323","37","Cooper Pratt","SS","MIL","21","AA","2027"
"362","324","6","Mitch Keller","SP","PIT","29","",""
"385","325","-168","Bailey Ober","SP","MIN","30","",""
"323","326","-74","Carson Williams","SS","TB","22","MLB",""
"329","327","-21","Dylan Beavers","RF","BAL","24","MLB",""
"383","328","-129","Jung Hoo Lee","CF","SF","27","",""
"223","329","-7","David Festa","SP","MIN","25","",""
"418","330","-66","Jeff Hoffman","RP","TOR","32","",""
"326","331","-73","Travis Sykora","SP","WSH","21","AA","2027"
"158","332","0","Ernie Clement","3B","TOR","29","",""
"427","333","-9","Luis Gil","SP","NYY","27","",""
"371","334","203","Joe Musgrove","SP","SD","33","",""
"139","335","60","Eduardo Tait","C","MIN","19","A+","2028"
"438","336","-41","Logan Henderson","SP","MIL","23","",""
"140","337","-80","Quinn Mathews","SP","STL","25","",""
"353","338","113","Liam Doyle","SP","STL","21","AA","2027"
"395","339","-45","Christian Walker","1B","HOU","34","",""
"411","340","-31","Christian Moore","2B","LAA","23","",""
"407","341","0","Carlos Estevez","RP","KC","32","",""
"175","342","0","Brody Hopkins","SP","TB","23","AA","2026"
"400","343","-65","Xander Bogaerts","SS","SD","33","",""
"202","344","-77","Chase Dollander","SP","COL","24","",""
"404","345","0","Andrew Vaughn","1B","MIL","27","",""
"235","346","0","Troy Melton","RP","DET","25","",""
"345","347","-37","Justin Crawford","OF","PHI","21","AAA","2026"
"396","348","-124","Tommy Edman","2B","LAD","30","",""
"333","349","-183","Emmanuel Rodriguez","CF","MIN","22","MLB",""
"428","350","-19","Clarke Schmidt","SP","NYY","29","",""
"238","351","30","Grant Taylor","RP","CWS","23","",""
"414","352","132","Grant Holmes","SP","ATL","29","",""
"408","353","-173","Anthony Santander","RF","TOR","31","",""
"431","354","-104","Robert Suarez","RP","ATL","34","",""
"129","355","9","Gage Jump","SP","ATH","22","AA","2027"
"424","356","-105","Evan Carter","CF","TEX","23","",""
"446","357","-18","Spencer Arrighetti","SP","HOU","25","",""
"389","358","0","Ralphy Velazquez","1B","CLE","20","",""
"398","359","86","Matthew Boyd","SP","CHC","34","",""
"415","360","-76","Matt Wallner","RF","MIN","28","",""
"410","361","-90","Josh Jung","3B","TEX","27","",""
"397","362","184","Alfredo Duno","C","CIN","19","A","2028"
"434","363","72","Luis Morales","SP","ATH","23","",""
"437","364","-17","Kyle Finnegan","RP","DET","34","",""
"386","365","-125","Luis Arraez","1B","FA","28","",""
"177","366","105","Blake Mitchell","C","KC","21","A+","2027"
"375","367","0","Jose Soriano","SP","LAA","27","",""
"440","368","-39","Pete Fairbanks","RP","MIA","31","",""
"402","369","-193","Logan O'Hoppe","C","LAA","25","",""
"356","370","-128","Chase DeLauter","RF","CLE","24","MLB",""
"360","371","-134","Owen Caissie","RF","CHC","23","MLB",""
"357","372","-26","Arjun Nimmala","SS","TOR","20","A+","2028"
"405","373","-107","Brandon Pfaadt","SP","AZ","27","",""
"401","374","33","Merrill Kelly","SP","TEX","37","",""
"412","375","-32","Josuar Gonzalez","SS","SF","18","ROK","2030"
"419","376","0","Adolis Garcia","RF","TEX","32","",""
"160","377","-114","Felnin Celesten","SS","SEA","20","",""
"416","378","-62","Ha-Seong Kim","SS","ATL","30","",""
"373","379","-4","Steele Hall","SS","CIN","18","ROK","2029"
"215","380","121","Landen Roupp","SP","SF","27","",""
"422","381","0","Joey Cantillo","SP","CLE","25","",""
"370","382","-230","Noah Schultz","SP","CWS","22","AAA","2025"
"409","383","14","Ryan Clifford","1B","NYM","22","",""
"413","384","-70","Chase Meidroth","SS","CWS","24","",""
"420","385","-88","TJ Friedl","CF","CIN","30","",""
"154","386","34","Theo Gillen","OF","TB","20","A","2028"
"403","387","-32","Angel Genao","3B","CLE","21","MLB",""
"208","388","-85","Cole Young","2B","SEA","22","",""
"435","389","-227","Marcell Ozuna","DH","FA","35","",""
"455","390","-91","Mick Abel","SP","MIN","24","",""
"421","391","-84","Brady House","3B","WSH","22","",""
"447","392","0","Bryan Abreu","RP","HOU","28","",""
"251","393","0","Cristian Javier","SP","HOU","28","",""
"458","394","10","Joe Boyle","SP","TB","26","",""
"429","395","-116","Brooks Lee","3B","MIN","24","",""
"457","396","-44","Hayden Birdsong","SP","SF","24","",""
"234","397","0","Jacob Lopez","SP","ATH","27","",""
"394","398","-136","Michael Arroyo","SS","SEA","21","AA","2026"
"406","399","-37","Harry Ford","C","WSH","22","MLB",""
"183","400","0","Billy Carlson","SS","CWS","19","ROK","2029"
"390","401","-165","Charlie Condon","OF","COL","21","AA","2026"
"423","402","0","Carlos Lagrange","SP","NYY","22","AA","2026"
"425","403","45","Kyson Witherspoon","SP","BOS","21","ROK","2027"
"430","404","0","Jaxon Wiggins","SP","CHC","24","AAA","2026"
"443","405","-119","Austin Wells","C","NYY","26","",""
"187","406","-49","Jaison Chourio","OF","CLE","20","",""
"478","407","-9","Brandon Sproat","SP","NYM","25","",""
"449","408","-39","Edgar Quero","C","CWS","22","",""
"170","409","0","Max P Muncy","3B","ATH","23","",""
"399","410","85","Tyler Bremner","SP","LAA","21","ROK","2026"
"444","411","-197","Marcus Semien","2B","NYM","35","",""
"456","412","0","Cade Cavalli","SP","WSH","27","",""
"439","413","83","Brady Singer","SP","CIN","29","",""
"442","414","-134","Jake Burger","1B","TEX","29","",""
"121","415","-13","Jonny Farmelo","OF","SEA","21","A+","2028"
"417","416","-75","Emil Morales","SS","LAD","19","A","2029"
"450","417","-202","Lars Nootbaar","LF","STL","28","",""
"452","418","25","Simeon Woods Richardson","SP","MIN","25","",""
"432","419","-134","Xavier Isaac","1B","TB","21","",""
"445","420","26","Josh Smith","SS","TEX","28","",""
"219","421","0","Joe Mack","C","MIA","22","AAA","2025"
"255","422","0","Will Vest","RP","DET","30","",""
"242","423","0","Randy Rodriguez","RP","SF","26","",""
"436","424","84","Ricky Tiedemann","SP","TOR","23","",""
"479","425","-136","Kumar Rocker","SP","TEX","26","",""
"290","426","0","Justin Martinez","RP","AZ","24","",""
"426","427","14","Cam Caminiti","SP","ATL","19","A","2028"
"466","428","120","Reid Detmers","RP","LAA","26","",""
"473","429","0","Griffin Jax","RP","TB","31","",""
"454","430","-143","Connor Norby","3B","MIA","25","",""
"477","431","0","Ryan Walker","RP","SF","30","",""
"211","432","-40","Tink Hence","SP","STL","23","",""
"475","433","0","C.J. Kayfus","1B","CLE","24","",""
"190","434","65","Jeferson Quero","C","MIL","23","MLB",""
"467","435","-123","Seth Lugo","SP","KC","36","",""
"239","436","0","Alex Clemmey","SP","WSH","19","A+","2026"
"244","437","0","JR Ritchie","SP","ATL","22","AAA","2027"
"483","438","-65","Kevin Alcantara","RF","CHC","23","",""
"269","439","0","Ian Seymour","RP","TB","27","",""
"463","440","-187","Clay Holmes","SP","NYM","32","",""
"221","441","0","Braylon Payne","OF","MIL","19","",""
"465","442","-170","Victor Scott II","OF","STL","24","",""
"468","443","113","Dillon Dingler","C","DET","27","",""
"493","444","30","Kyle Harrison","SP","BOS","24","",""
"460","445","-126","Yusei Kikuchi","SP","LAA","34","",""
"469","446","-213","Parker Meadows","CF","DET","26","",""
"283","447","0","Chase Petty","SP","CIN","22","",""
"151","448","-243","Hagen Smith","SP","CWS","22","AA","2026"
"476","449","-231","Matthew Liberatore","SP","STL","26","",""
"474","450","-152","Ronny Mauricio","3B","NYM","24","",""
"482","451","-97","Hyeseong Kim","2B","LAD","26","",""
"459","452","-68","Slade Caldwell","OF","AZ","19","",""
"470","453","-115","Zack Gelof","2B","ATH","26","",""
"441","454","-103","Jhostynxon Garcia","CF","PIT","23","MLB",""
"271","455","0","Camilo Doval","RP","NYY","28","",""
"472","456","-119","J.T. Realmuto","C","FA","34","",""
"292","457","0","Parker Messick","SP","CLE","25","",""
"491","458","0","Mike Yastrzemski","OF","ATL","35","",""
"218","459","77","Jurrangelo Cijntje","SP","SEA","22","AA","2027"
"276","460","0","Tylor Megill","SP","NYM","30","",""
"243","461","0","Zack Littell","SP","FA","30","",""
"451","462","-128","Jarlin Susana","SP","WSH","21","AA","2026"
"464","463","41","Hunter Barco","SP","PIT","24","MLB",""
"480","464","0","Chad Patrick","SP","MIL","27","",""
"494","465","0","Felix Bautista","RP","BAL","30","",""
"433","466","-201","Spencer Jones","CF","NYY","24","MLB",""
"448","467","-74","Rhett Lowder","SP","CIN","23","MLB",""
"484","468","0","Reynaldo Lopez","SP","ATL","31","",""
"485","469","-79","Ben Brown","SP","CHC","26","",""
"481","470","0","Andres Gimenez","2B","TOR","27","",""
"453","471","0","Ethan Salas","C","SD","19","AA","2027"
"237","472","52","Christian Scott","SP","NYM","26","",""
"489","473","0","Ryan O'Hearn","1B","PIT","32","",""
"471","474","0","Jose Berrios","SP","TOR","31","",""
"217","475","6","Jackson Ferris","SP","LAD","21","AA","2026"
"486","476","76","David Peterson","SP","NYM","30","",""
"240","477","0","Victor Scott","CF","STL","24","",""
"462","478","-99","Cam Collier","3B","CIN","21","AA","2026"
"487","479","0","Jacob Reimer","3B","NYM","21","",""
"488","480","-154","Jordan Walker","RF","STL","23","",""
"305","481","0","Caden Dana","SP","LAA","21","",""
"492","482","-138","Dustin May","SP","BOS","28","",""
"264","483","0","River Ryan","SP","LAD","27","",""
"461","484","57","Brice Matthews","SS","HOU","23","MLB",""
"500","485","0","Luisangel Acuna","2B","NYM","23","",""
"262","486","0","Sean Burke","SP","CWS","25","",""
"310","487","0","Carson Whisenhunt","SP","SF","25","",""
"293","488","0","Jeremiah Estrada","RP","SD","27","",""
